| Age   | 5th    | 10th   | 15th   | 25th   | 50th   | 75th   | 85th   | 90th   | 95th   |
| ----- | ------ | ------ | ------ | ------ | ------ | ------ | ------ | ------ | ------ |
| 8–11  | 329.92 | 344.44 | 358.27 | 375.69 | 411.27 | 459.94 | 488.37 | 514.1  | 546.04 |
| 12–15 | 455.11 | 481.54 | 497.48 | 524.48 | 570.35 | 617.93 | 643.8  | 659.98 | 686.33 |
| 16–19 | 519.27 | 538.45 | 551.32 | 571.08 | 615.33 | 653.88 | 676.98 | 692.41 | 723.07 |
| 20–29 | 525.96 | 546.27 | 560.4  | 582.15 | 621.38 | 665.68 | 689.82 | 706.65 | 733.23 |
| 30–39 | 524.39 | 544.86 | 560.35 | 579.86 | 620.9  | 664.32 | 691.28 | 710.24 | 744.84 |
| 40–49 | 524.44 | 544.59 | 558.07 | 579.38 | 618.36 | 664.95 | 693.01 | 708.52 | 740.43 |
| 50–59 | 507.37 | 528    | 543.74 | 567.4  | 605.19 | 649.77 | 672.46 | 690.14 | 722.58 |
| 60–69 | 485.33 | 507.31 | 523.15 | 543.81 | 589.14 | 637.04 | 657.66 | 672.56 | 700.97 |
| 70–79 | 455.6  | 485.13 | 497.01 | 524.7  | 563.39 | 604.92 | 626.41 | 643.59 | 666.25 |
| 80+   | 426.07 | 444.23 | 459.21 | 481.71 | 520.38 | 558    | 585.56 | 600.86 | 626.62 |
