| Age               | Median |
| ----------------- | ------ |
| All ages          | 9.5    |
| 2–11 months       | 5.6    |
| 1–2 years         | 6.2    |
| 3–5 years         | 7.2    |
| 6–11 years        | 8.8    |
| 12–15 years       | 9.9    |
| 16–19 years       | 10.9   |
| 20–29 years       | 10.9   |
| 30–39 years       | 10.6   |
| 40–49 years       | 10.1   |
| 50–59 years       | 10     |
| 60–69 years       | 9      |
| 70–79 years       | 8.4    |
| 80 years and over | 7.9    |
