Age,Median
"All ages",11.4
"2–11 months",5.7
"1–2 years",6.6
"3–5 years",7.5
"6–11 years",9.8
"12–15 years",10.9
"16–19 years",13.5
"20–29 years",13.7
"30–39 years",12.9
"40–49 years",12.4
"50–59 years",12.6
"60–69 years",10.9
"70–79 years",9.7
"80 years and over",9.3
