Age,Median
"All ages",8
"2–11 months",5.4
"1–2 years",5.9
"3–5 years",6.9
"6–11 years",7.9
"12–15 years",8.4
"16–19 years",8.5
"20–29 years",8.6
"30–39 years",8.7
"40–49 years",8.5
"50–59 years",8
"60–69 years",7.6
"70–79 years",7.5
"80 years and over",7.1
