Age,Median
"All ages",1.8
"2–11 months",0.6
"1–2 years",1
"3–5 years",1.7
"6–11 years",2
"12–15 years",2
"16–19 years",2
"20–29 years",2.1
"30–39 years",2
"40–49 years",1.8
"50–59 years",1.6
"60–69 years",1.5
"70–79 years",1.4
"80 years and over",1.5
