| Age               | Median |
| ----------------- | ------ |
| All ages          | 14.6   |
| 2–11 months       | 9.7    |
| 1–2 years         | 14.8   |
| 3–5 years         | 13.8   |
| 6–11 years        | 13.9   |
| 12–15 years       | 14     |
| 16–19 years       | 14.3   |
| 20–29 years       | 14.4   |
| 30–39 years       | 14.7   |
| 40–49 years       | 14.6   |
| 50–59 years       | 15.4   |
| 60–69 years       | 15.5   |
| 70–79 years       | 15.5   |
| 80 years and over | 15.2   |
