| Age       | Mean   |
| --------- | ------ |
| 2.0-2.4   | 89.1   |
| 2.5-2.9   | 92.78  |
| 3.0-3.4   | 96.82  |
| 3.5-3.9   | 100.45 |
| 4.0-4.4   | 104    |
| 4.5-4.9   | 107.14 |
| 5.0-5.4   | 110.94 |
| 5.5-5.9   | 113.89 |
| 6.0-6.4   | 117.21 |
| 6.5-6.9   | 120.19 |
| 7.0-7.4   | 123.47 |
| 7.5-7.9   | 126.61 |
| 8.0-8.4   | 128.62 |
| 8.5-8.9   | 131.58 |
| 9.0-9.4   | 134.71 |
| 9.5-9.9   | 136.91 |
| 10.0-10.4 | 139.59 |
| 10.5-10.9 | 142.32 |
| 11.0-11.4 | 144.65 |
| 11.5-11.9 | 147.9  |
| 12.0-12.4 | 151.43 |
| 12.5-12.9 | 154.79 |
| 13.0-13.4 | 158.49 |
| 13.5-13.9 | 160.98 |
| 14.0-14.4 | 166.13 |
| 14.5-14.9 | 168.42 |
| 15.0-15.4 | 170.61 |
| 15.5-15.9 | 172.39 |
| 16.0-16.4 | 173.31 |
| 16.5-16.9 | 175.63 |
| 17.0-17.4 | 175.78 |
| 17.5-17.9 | 176.1  |
| 18.0-18.4 | 177.53 |
| 18.5-18.9 | 176.51 |
| 19.0-19.4 | 175.86 |
| 19.5-19.9 | 176.25 |
