Age,Mean
"2–2.49 years",87.73
"2.5–2.99 years",81.82
"3.0–3.49 years",95.75
"3.5–3.99 years",99.67
"4.0–4.49 years",103.05
"4.5–4.99 years",105.98
"5.0–5.49 years",109.87
"5.5–5.99 years",113.77
"6.0–6.49 years",116.46
"6.5–6.99 years",119.3
"7.0–7.49 years",122.52
"7.5–7.99 years",125.27
"8.0–8.49 years",128.29
"8.5–8.99 years",131.41
"9.0–9.49 years",134.3
"9.5–9.99 years",136.83
"10.0–10.49 years",139.85
"10.5–10.99 years",142.88
"11.0–11.49 years",146.64
"11.5–11.99 years",149.91
"12.0–12.49 years",153.19
"12.5–12.99 years",156.26
"13.0–13.49 years",158.7
"13.5–13.99 years",159.36
"14.0–14.49 years",160.73
"14.5–14.99 years",161.35
"15.0–15.49 years",162.34
"15.5–15.99 years",163.61
"16.0–16.49 years",162.73
"16.5–16.99 years",162.37
"17.0–17.49 years",162.83
"17.5–17.99 years",163.1
"18.0–18.49 years",163.82
"18.5–18.99 years",163.27
"19.0–19.49 years",163.3
"19.5–19.99 years",163.33
