Age,Mean
"2–2.49 years",89.1
"2.5–2.99 years",92.78
"3.0–3.49 years",96.82
"3.5–3.99 years",100.45
"4.0–4.49 years",104
"4.5–4.99 years",107.14
"5.0–5.49 years",110.94
"5.5–5.99 years",113.89
"6.0–6.49 years",117.21
"6.5–6.99 years",120.19
"7.0–7.49 years",123.47
"7.5–7.99 years",126.61
"8.0–8.49 years",128.62
"8.5–8.99 years",131.58
"9.0–9.49 years",134.71
"9.5–9.99 years",136.91
"10.0–10.49 years",139.59
"10.5–10.99 years",142.32
"11.0–11.49 years",144.65
"11.5–11.99 years",147.9
"12.0–12.49 years",151.43
"12.5–12.99 years",154.79
"13.0–13.49 years",158.49
"13.5–13.99 years",160.98
"14.0–14.49 years",166.13
"14.5–14.99 years",168.42
"15.0–15.49 years",170.61
"15.5–15.99 years",172.39
"16.0–16.49 years",173.31
"16.5–16.99 years",175.63
"17.0–17.49 years",175.78
"17.5–17.99 years",176.1
"18.0–18.49 years",177.53
"18.5–18.99 years",176.51
"19.0–19.49 years",175.86
"19.5–19.99 years",176.25
