Age,"Standard deviation"
"6 years",9.1
"7-11 years",10
"7 years",10.2
"8 years",9.7
"9 years",10.6
"10 years",8.9
"11 years",10.1
"12-17 years",9.7
"12 years",9.6
"13 years",9.6
"14 years",8.9
"15 years",9.1
"16 years",9.7
"17 years",10.9
"18-74 years",13.3
"18-24 years",10.2
"25-34 years",10.6
"35-44 years",12.5
"45-54 years",13.7
"55-64 years",12.7
"65-74 years",12.9
"40-74 years",13.1
