Age,"Standard deviation"
"6 years",8.2
"7-11 years",9.6
"7 years",9
"8 years",10.6
"9 years",9.3
"10 years",9.1
"11 years",9.7
"12-17 years",10
"12 years",8.1
"13 years",10.4
"14 years",10.3
"15 years",9.9
"16 years",9
"17 years",10.9
"18-74 years",12.3
"18-24 years",10
"25-34 years",10.3
"35-44 years",11.5
"45-54 years",13.1
"55-64 years",12.3
"65-74 years",13.2
"40-74 years",12.6
