Age,"Standard deviation"
"6 years",8.7
"7-11 years",9.8
"7 years",9.6
"8 years",10.1
"9 years",10
"10 years",9
"11 years",9.9
"12-17 years",9.9
"12 years",8.8
"13 years",10
"14 years",9.6
"15 years",9.6
"16 years",9.5
"17 years",11
"18-74 years",13
"18-24 years",10.4
"25-34 years",10.9
"35-44 years",12.2
"45-54 years",13.6
"55-64 years",12.5
"65-74 years",13
"40-74 years",12.9
