"Cause of death (female, 35–44 years)",Number,"Percent of total deaths","Death rate"
"All causes",29550,100,141.6
"Accidents (unintentional injuries)",6594,22.3,31.6
"Malignant neoplasms",6174,20.9,29.6
"Diseases of heart",3309,11.2,15.9
"Intentional self-harm (suicide)",1710,5.8,8.2
"Chronic liver disease and cirrhosis",1257,4.3,6
"Diabetes mellitus",833,2.8,4
"Cerebrovascular diseases",782,2.6,3.7
"Assault (homicide)",688,2.3,3.3
"Influenza and pneumonia",427,1.4,2
"Pregnancy, childbirth and the puerperium",398,1.3,1.9
"All other causes",7378,25,35.4
