"Cause of death (female, 45–54 years)",Number,"Percent of total deaths","Death rate"
"All causes",61546,100,297.3
"Malignant neoplasms",18529,30.1,89.5
"Diseases of heart",9141,14.9,44.2
"Accidents (unintentional injuries)",6812,11.1,32.9
"Chronic liver disease and cirrhosis",2878,4.7,13.9
"Diabetes mellitus",2257,3.7,10.9
"Cerebrovascular diseases",2198,3.6,10.6
"Intentional self-harm (suicide)",2156,3.5,10.4
"Chronic lower respiratory diseases",1977,3.2,9.5
Septicemia,1019,1.7,4.9
"Nephritis, nephrotic syndrome and nephrosis",920,1.5,4.4
"All other causes",13659,22.2,66
