"Cause of death (female, 20–24 years)",Number,"Percent of total deaths","Death rate"
"All causes",5126,100,48.5
"Accidents (unintentional injuries)",2153,42,20.4
"Intentional self-harm (suicide)",643,12.5,6.1
"Assault (homicide)",431,8.4,4.1
"Malignant neoplasms",324,6.3,3.1
"Diseases of heart",227,4.4,2.1
"Pregnancy, childbirth and the puerperium",126,2.5,1.2
"Congenital malformations, deformations and chromosomal abnormalities",93,1.8,0.9
"Diabetes mellitus",75,1.5,0.7
"Influenza and pneumonia",50,1,0.5
"Cerebrovascular diseases",43,0.8,0.4
"All other causes",961,18.7,9.1
