"Cause of death (female, 25–34 years)",Number,"Percent of total deaths","Death rate"
"All causes",17827,100,78.9
"Accidents (unintentional injuries)",6598,37,29.2
"Malignant neoplasms",1833,10.3,8.1
"Intentional self-harm (suicide)",1526,8.6,6.8
"Diseases of heart",1167,6.5,5.2
"Assault (homicide)",807,4.5,3.6
"Pregnancy, childbirth and the puerperium",532,3,2.4
"Chronic liver disease and cirrhosis",418,2.3,1.9
"Diabetes mellitus",325,1.8,1.4
"Cerebrovascular diseases",276,1.5,1.2
"Influenza and pneumonia",210,1.2,0.9
"All other causes",4135,23.2,18.3
