"Cause of death (female, 1–4 years)",Number,"Percent of total deaths","Death rate"
"All causes",1635,100,21.2
"Accidents (unintentional injuries)",477,29.2,6.2
"Congenital malformations, deformations and chromosomal abnormalities",207,12.7,2.7
"Malignant neoplasms",135,8.3,1.7
"Assault (homicide)",122,7.5,1.6
"Diseases of heart",61,3.7,0.8
"Influenza and pneumonia",58,3.5,0.8
"Certain conditions originating in the perinatal period",32,2,0.4
Septicemia,29,1.8,0.4
"Cerebrovascular diseases",22,1.3,0.3
"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior",20,1.2,0.3
"All other causes",472,28.9,6.1
