"Cause of death (female, 10–14 years)",Number,"Percent of total deaths","Death rate"
"All causes",1268,100,12.5
"Accidents (unintentional injuries)",268,21.1,2.6
"Intentional self-harm (suicide)",203,16,2
"Malignant neoplasms",183,14.4,1.8
"Congenital malformations, deformations and chromosomal abnormalities",83,6.5,0.8
"Assault (homicide)",51,4,0.5
"Diseases of heart",44,3.5,0.4
"Influenza and pneumonia",41,3.2,0.4
"Chronic lower respiratory diseases",27,2.1,0.3
"Cerebrovascular diseases",24,1.9,0.2
"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior",18,1.4,*
"All other causes",326,25.7,3.2
