| Systolic | Percent |
| -------- | ------- |
| 0-90     | 0.7     |
| 90-99    | 4.2     |
| 100-109  | 14.3    |
| 110-119  | 23.1    |
| 120-129  | 24.2    |
| 130-139  | 14.5    |
| 140-149  | 8.2     |
| 150-159  | 4.8     |
| 160-169  | 2.8     |
| 170-179  | 1.5     |
| 180-189  | 0.9     |
| 190-199  | 0.3     |
| 200+     | 0.5     |
