Age,Mean
"All ages",1.7
"2–11 months",1.7
"1–2 years",1.6
"3–5 years",1.7
"6–11 years",1.9
"12–15 years",1.8
"16–19 years",1.7
"20–29 years",1.7
"30–39 years",1.7
"40–49 years",1.6
"50–59 years",1.6
"60–69 years",1.7
"70–79 years",1.6
"80 years and over",1.7
