Age,5th,10th,15th,25th,50th,75th,85th,90th,95th
"2 years",82.6,84,85.1,86.9,89.2,92.7,94.3,95.3,96.9
"3 years",91.3,92.8,93.8,95,98.2,101.4,103.2,104.1,106
"4 years",*,98.3,100.2,102.2,105,108.5,110.4,111.5,*
"5 years",*,105.2,106.3,108,112,115.5,117.8,119.5,*
"6 years",*,*,111.5,114.5,118.2,122.1,124.1,*,*
"7 years",*,*,118.6,120.5,123.4,128,130.8,*,*
"8 years",*,*,125.3,127.4,131.1,135.5,137.5,*,*
"9 years",*,128.6,129.4,132.6,136.5,139.9,142.7,143.6,*
"10 years",*,*,135.4,137.2,142.5,147.8,150.6,*,*
"11 years",*,*,143.1,144.3,151.1,155.1,157.1,*,*
"12 years",*,*,147.5,150.6,155.6,161.2,164.2,*,*
"13 years",*,*,152,155.3,159.5,164.6,167.6,*,*
"14 years",*,*,154.5,156.1,161.5,166.4,169.1,*,*
"15 years",*,*,157.8,159.3,162.9,166.8,168.7,*,*
"16 years",*,*,157.4,159.1,162.7,166.3,168.7,*,*
"17 years",*,*,155.8,158.9,163.4,167.1,171,*,*
"18 years",*,*,155,158,163.6,167.6,170.1,*,*
"19 years",*,*,156.1,158.5,164.7,168.6,169.9,*,*
"20 years and older",150.4,153.1,154.9,157.2,161.7,166.4,169.1,170.8,173.1
"20–29 years",151.7,154.5,155.7,158,162.6,167.7,170.2,171.7,174.3
"30–39 years",152.1,154.7,156.3,158.8,163.5,168.2,170.4,172.2,174.9
"40–49 years",152,154.9,156.6,158.6,162.6,167.1,169.6,170.9,172.9
"50–59 years",151.5,154,155.6,157.5,162.1,166.1,168.4,170.3,172.2
"60–69 years",150,152.3,154.1,156.1,160.1,164.7,166.5,168.5,171.2
"70–79 years",147.2,149.8,152.1,154,158.2,162.6,164.8,166.1,167.9
"80 years and older",143.8,146.2,148.2,150.9,155.1,159.4,161.8,163.5,165.7
