Age,"Sample size"
"2 years",524
"3 years",484
"4 years",540
"5 years",491
"6 years",278
"7 years",268
"8 years",260
"9 years",273
"10 years",293
"11 years",280
"12 years",202
"13 years",181
"14 years",185
"15 years",181
"16 years",191
"17 years",191
"18 years",169
"19 years",161
"20 years and older",7411
"20–29 years",1578
"30–39 years",1428
"40–49 years",1174
"50–59 years",817
"60–69 years",1103
"70–79 years",772
"80 years and older",539
