| Age   | Sample size |
| ----- | ----------- |
| 2     | 524         |
| 3     | 484         |
| 4     | 540         |
| 5     | 491         |
| 6     | 278         |
| 7     | 268         |
| 8     | 260         |
| 9     | 273         |
| 10    | 293         |
| 11    | 280         |
| 12    | 202         |
| 13    | 181         |
| 14    | 185         |
| 15    | 181         |
| 16    | 191         |
| 17    | 191         |
| 18    | 169         |
| 19    | 161         |
| 20+   | 7411        |
| 20–29 | 1578        |
| 30–39 | 1428        |
| 40–49 | 1174        |
| 50–59 | 817         |
| 60–69 | 1103        |
| 70–79 | 772         |
| 80+   | 539         |
