| Age   | Sample size |
| ----- | ----------- |
| 2     | 508         |
| 3     | 560         |
| 4     | 525         |
| 5     | 556         |
| 6     | 273         |
| 7     | 268         |
| 8     | 244         |
| 9     | 272         |
| 10    | 255         |
| 11    | 267         |
| 12    | 233         |
| 13    | 218         |
| 14    | 217         |
| 15    | 188         |
| 16    | 204         |
| 17    | 193         |
| 18    | 169         |
| 19    | 170         |
| 20+   | 8068        |
| 20–29 | 1616        |
| 30–39 | 1699        |
| 40–49 | 1299        |
| 50–59 | 962         |
| 60–69 | 1076        |
| 70–79 | 854         |
| 80+   | 562         |
