Age,"Standard deviation"
"7-17 years (education : head of the household)",9.9
"7-11 years (education : head of the household)",9.6
"12-17 years (education : head of the household)",9.7
"18-74 years",12.7
"18-24 years",10.7
"25-34 years",11.3
"35-44 years",12
"45-54 years",13.7
"55-64 years",11.8
"65-74 years",12.4
