| Systolic | Percent |
| -------- | ------- |
| 0-100    | 0.2     |
| 100-109  | 5       |
| 110-119  | 8.9     |
| 120-129  | 15      |
| 130-139  | 21.6    |
| 140-149  | 18.4    |
| 150-159  | 11.7    |
| 160-169  | 9.7     |
| 170-179  | 4.4     |
| 180-189  | 2.3     |
| 190-199  | 2       |
| 200-209  | 0.5     |
| 210+     | 0.3     |
