| Systolic | Percent |
| -------- | ------- |
| 0-100    | 1.1     |
| 100-109  | 3.1     |
| 110-119  | 11.2    |
| 120-129  | 12      |
| 130-139  | 17.8    |
| 140-149  | 15      |
| 150-159  | 12.4    |
| 160-169  | 10.1    |
| 170-179  | 7.6     |
| 180-189  | 4.1     |
| 190-199  | 1.5     |
| 200-209  | 1.4     |
| 210-219  | 1.3     |
| 220-229  | 0.7     |
| 230+     | 0.7     |
