Age,"Sample size",Mean,"Standard error",5th,10th,15th,25th,50th,75th,85th,90th,95th
"8–11 years",1465,45.16,13.26,26.93,29.65,31.86,35.21,43.56,52.67,58.72,63.34,68.9
"12–15 years",2318,69.93,17.1,45.78,49.7,53.39,58.51,68.08,79.23,86.14,92.4,102.31
"16–19 years",2027,80.04,18.31,55.76,59.55,62.29,67.47,77.89,89.93,97.57,102.81,111.59
"20–29 years",1378,82.83,19.87,56.13,60.88,64.65,68.76,80.34,93.27,100.92,106.87,119.01
"30–39 years",1372,85.17,22.8,55.49,60.84,64.07,69.61,81.42,97.21,106.15,114,125.62
"40–49 years",1570,84.26,21.31,53.26,58.8,62.84,68.91,81.86,96.86,105.4,110.89,120.73
"50–59 years",1200,81.9,21.15,53.06,57.25,61.03,66.9,79.85,93.74,101.77,108.17,120.68
"60–69 years",1419,76.25,20.64,46.1,51.32,55.18,61.85,74.3,88.43,97.45,103.39,111.91
"70–79 years",750,67.36,18.81,37.71,45.45,48.87,54.45,65.9,78.69,86.15,90.43,99.53
"80 years and over",594,56.06,16.45,32.16,36.55,39.38,44.44,54.47,67.4,73.03,77.15,84.05
"20 years and over (age-adjusted)",8283,80.29,,,,,,,,,,
