Age,"Standard error"
"All ages"
"2–11 months",–
"1–2 years"
"3–5 years",–
"6–11 years"
"12–15 years",–
"16–19 years"
"20–29 years",1.4
"30–39 years"
"40–49 years",0.8
"50–59 years"
"60–69 years",0.6
"70–79 years"
"80 years and over",596,1,0.2
