Age,"Number of visits in thousands","Standard error in thousands"
"All male visits",53632,2968
"Under 15 years",12236,1047
"15–24 years",7899,594
"25–44 years",14786,873
"45–64 years",11715,661
"65–74 years",3185,197
"75 years and over",3811,261
