| Age         | Standard error of rate |
| ----------- | ---------------------- |
| 12-17 years | 0.37                   |
| 18-74 years | 0.77                   |
| 18-24 years | 1.1                    |
| 25-34 years | 1.34                   |
| 35-44 years | 1.92                   |
| 45-54 years | 2.12                   |
| 55-64 years | 2.18                   |
| 65-74 years | 1.74                   |
