Age,"Standard error of rate"
"12-17 years",0.24
"18-74 years",0.76
"18-24 years",0.31
"25-34 years",0.51
"35-44 years",1.01
"45-54 years",1.91
"55-64 years",2.08
"65-74 years",2.03
