Age,"Standard error"
"2 years",0.15
"3 years",0.21
"4 years",0.18
"5 years",0.22
"6 years",0.44
"7 years",0.4
"8 years",0.48
"9 years",0.53
"10 years",0.47
"11 years",0.61
"12 years",0.65
"13 years",0.72
"14 years",1.05
"15 years",0.74
"16 years",0.76
"17 years",0.62
"18 years",0.79
"19 years",0.66
"20 years and older",0.12
"20–29 years",0.18
"30–39 years",0.19
"40–49 years",0.2
"50–59 years",0.22
"60–69 years",0.18
"70–79 years",0.24
"80 years and older",0.25
