Age,5th,10th,15th,25th,50th,75th,85th,90th,95th
"8–11 years",0.698,0.723,0.74,0.771,0.83,0.89,0.924,0.946,0.981
"12–15 years",0.851,0.887,0.915,0.949,1.01,1.073,1.111,1.138,1.169
"16–19 years",0.945,0.981,1.002,1.033,1.088,1.145,1.183,1.211,1.252
"20–29 years",0.983,1.01,1.029,1.06,1.114,1.171,1.207,1.23,1.268
"30–39 years",0.989,1.021,1.041,1.075,1.138,1.195,1.232,1.261,1.292
"40–49 years",0.973,1.011,1.034,1.068,1.129,1.187,1.232,1.261,1.304
"50–59 years",0.92,0.956,0.982,1.02,1.086,1.16,1.199,1.222,1.266
"60–69 years",0.869,0.899,0.926,0.966,1.035,1.115,1.154,1.184,1.226
"70–79 years",0.811,0.846,0.872,0.903,0.97,1.05,1.098,1.13,1.166
"80 years and over",0.757,0.797,0.815,0.848,0.921,0.999,1.035,1.059,1.101
