Sexes,Total,"Under 1 year",1–4,5–14,15–24,25–34,35–44,45–54,55–64,65–74,75–84,85andOver
Both-sexes,2854838,20921,3676,5497,29771,59178,82986,160393,374937,555559,688027,873746
Male,1473823,11674,2041,3186,21748,41351,53436,98847,227925,320247,355100,338165
Female,1381015,9247,1635,2311,8023,17827,29550,61546,147012,235312,332927,535581
