Age,"Total : Sample size","Total : Mean","Total : Standard error","Total : Median","Poverty income ratio ≤ 1.300 : Sample size","Poverty income ratio ≤ 1.300 : Mean","Poverty income ratio ≤ 1.300 : Standard error","Poverty income ratio ≤ 1.300 : Median","Poverty income ratio > 1.300 : Sample size","Poverty income ratio > 1.300 : Mean","Poverty income ratio > 1.300 : Standard error","Poverty income ratio > 1.300 : Median"
"All ages",13923,131,1.6,117,4929,127,2.6,111,7770,133,1.9,119
"Under 6 years",3410,75,1.2,71,1564,79,1.8,76,1548,74,1.8,70
"6–11 years",1581,116,3.2,109,713,116,3.6,109,746,118,4.4,110
"12–19 years",1462,150,3.7,133,634,136,4.2,126,674,156,5.2,135
"20–59 years",5019,144,2.2,131,1390,152,4.7,138,3226,143,2.5,130
"60 years and over",2451,111,1.9,101,628,99,4.1,84,1576,113,1.9,102
