Age,3rd,5th,10th,25th,50th,75th,90th,95th,97th
Birth,45.7,46.4,48.3,49.5,51.4,53.3,54.6,55.9,55.9
"0–1 month",48.3,48.3,48.8,50.8,52.1,53.3,55.8,55.9,56.8
"1 month",50.8,51.4,52.1,53.3,55.9,57.2,58.7,59.7,60.9
"2 months",54.6,54.6,55.9,56.8,58.4,60.6,62.2,63.4,63.5
"3 months",57.8,58.3,59,60.3,61.9,63.5,65.3,66.6,67.3
"4 months",59.6,60,61,62.5,64.1,66,67.3,68.6,68.6
"5 months",62.7,63,63.5,65,66.6,67.9,69.7,71.3,71.3
"6 months",64.6,64.8,65.8,66.8,68.2,70.2,71.7,71.9,72.8
"7 months",64.4,65.2,65.8,67.8,69.6,72.2,74.5,75.7,76.4
"8 months",67,67.7,68.4,69.6,71.3,73.8,74.9,76.2,78.3
"9 months",67.7,67.9,68.9,70.8,72.6,74,76,76.6,78.8
"10 months",68.5,69.5,70.3,71.5,73.3,75,76.5,77.8,78.2
"11 months",67.8,69.8,71.4,73.4,75,76.8,78.6,79.7,80
"12–14 months",72.4,72.9,74.1,75.7,77.3,79.5,82,82.9,83.8
"15–17 months",75.5,76.2,77,78.8,80.4,82.5,84.3,85.5,85.9
"18–20 months",76.2,77.8,80,81.6,83.7,86,88.4,90.2,91.9
"21–23 months",80.4,80.7,82.3,84.4,86.4,88.2,89.9,90.9,93
"24–29 months",82.1,83,84.8,87,89.1,91.3,93.9,95.5,96
"30–35 months",86,87,88.7,91.1,93.6,95.9,97.8,99.9,100.7
