Age,"Standard error"
"All ages",0.07
"2–11 months",0.23
"1–2 years",0.14
"3–5 years",0.13
"6–11 years",0.09
"12–15 years",0.15
"16–19 years",0.14
"20–29 years",0.13
"30–39 years",0.14
"40–49 years",0.19
"50–59 years",0.15
"60–69 years",0.14
"70–79 years",0.18
"80 years and over",0.11
