| Age   | Adult Height (5th) | Adult Height (50th) | Adult Height (95th) |
| ----- | ------------------ | ------------------- | ------------------- |
| 0     | 27                 | 30                  | 32                  |
| 2m    | 32                 | 34                  | 37                  |
| 3m    | 34                 | 36                  | 38                  |
| 4m    | 35                 | 37                  | 40                  |
| 5m    | 36                 | 38                  | 41                  |
| 6m    | 37                 | 39                  | 41                  |
| 7m    | 38                 | 40                  | 44                  |
| 8m    | 39                 | 41                  | 44                  |
| 9m    | 39                 | 42                  | 44                  |
| 10m   | 40                 | 42                  | 45                  |
| 11m   | 40                 | 43                  | 46                  |
| 1     | 44                 | 47                  | 51                  |
| 2     | 49                 | 52                  | 56                  |
| 3     | 53                 | 57                  | 61                  |
| 4     | 56                 | 60                  | 65                  |
| 5     | 60                 | 64                  | 70                  |
| 6     | 62                 | 68                  | 74                  |
| 7     | 66                 | 72                  | 79                  |
| 8     | 69                 | 75                  | 81                  |
| 9     | 73                 | 79                  | 86                  |
| 10    | 75                 | 82                  | 87                  |
| 11    | 78                 | 84                  | 91                  |
| 12    | 82                 | 88                  | 99                  |
| 13    | 83                 | 93                  | 101                 |
| 14    | 91                 | 97                  | 104                 |
| 15    | 91                 | 99                  | 108                 |
| 16    | 93                 | 100                 | 108                 |
| 17    | 94                 | 101                 | 110                 |
| 18    | 94                 | 101                 | 110                 |
| 19    | 95                 | 100                 | 106                 |
| 20+   | 94                 | 100                 | 107                 |
| 20–29 | 94                 | 101                 | 107                 |
| 30–39 | 94                 | 101                 | 108                 |
| 40–49 | 94                 | 101                 | 107                 |
| 50–59 | 94                 | 100                 | 107                 |
| 60–69 | 93                 | 98                  | 106                 |
| 70–79 | 92                 | 97                  | 105                 |
| 80+   | 90                 | 100                 | 103                 |
