Age,"Sample size",Mean,"Standard error",5th,25th,50th,75th,95th
"18 years and over, age-adjusted",9779,70,0.2,52,63,70,77,88
"18–39 years",3655,68,0.3,52,61,67,73,83
"40–59 years",2902,74,0.3,58,67,73,80,91
"60 years and over",3222,68,0.3,45,59,68,76,88
