Age,"Sample size",Mean,"Standard error",5th,25th,50th,75th,95th
"18 years and over, age-adjusted",9779,121,0.2,96,107,117,131,160
"18–39 years",3655,110,0.2,94,103,109,116,128
"40–59 years",2902,122,0.4,97,109,119,131,153
"60 years and over",3222,139,0.5,107,122,135,151,181
