| Age               | Median |
| ----------------- | ------ |
| All ages          | 240    |
| 2–11 months       | 111    |
| 1–2 years         | 168    |
| 3–5 years         | 208    |
| 6–11 years        | 245    |
| 12–15 years       | 284    |
| 16–19 years       | 303    |
| 20–29 years       | 279    |
| 30–39 years       | 262    |
| 40–49 years       | 245    |
| 50–59 years       | 225    |
| 60–69 years       | 210    |
| 70–79 years       | 202    |
| 80 years and over | 190    |
