| Age               | Median |
| ----------------- | ------ |
| All ages          | 283    |
| 2–11 months       | 112    |
| 1–2 years         | 175    |
| 3–5 years         | 215    |
| 6–11 years        | 271    |
| 12–15 years       | 321    |
| 16–19 years       | 359    |
| 20–29 years       | 340    |
| 30–39 years       | 312    |
| 40–49 years       | 291    |
| 50–59 years       | 268    |
| 60–69 years       | 245    |
| 70–79 years       | 231    |
| 80 years and over | 222    |
