Age,"Standard error"
"7-74 years",0.56
"7-11 years",1.1
"12-17 years",0.85
"18-24 years",0.74
"25-34 years",0.57
"35-44 years",0.76
"45-54 years",1.13
"55-64 years",1.02
"65-74 years",0.73
