"Length interval",Mean
"45–46 centimeters",2.68
"47–48 centimeters",3.04
"49–50 centimeters",3.36
"51–52 centimeters",3.59
"45–46 centimeters",2.53
"47–48 centimeters",2.95
"49–50 centimeters",3.3
"51–52 centimeters",3.53
"65–66 centimeters",7.59
"67–68 centimeters",8.28
"69–70 centimeters",8.73
"71–72 centimeters",9.25
"73–74 centimeters",9.74
"75–76 centimeters",10.17
"77–78 centimeters",10.59
"79–80 centimeters",11.24
"81–82 centimeters",11.53
"83–84 centimeters",11.88
"85–86 centimeters",12.31
"87–88 centimeters",12.67
"89–90 centimeters",13.19
"91–92 centimeters",13.54
"93–94 centimeters",14.04
"95–96 centimeters",14.59
"97–98 centimeters",15.25
"99–100 centimeters",15.64
"101–102 centimeters",16.2
