| Age   | Sample size |
| ----- | ----------- |
| 0-1   | 931         |
| 1     | 633         |
| 2–3   | 1107        |
| 4–5   | 900         |
| 6–8   | 1264        |
| 9–11  | 1236        |
| 12–15 | 2310        |
| 16–19 | 2082        |
| 20–39 | 3061        |
| 40–59 | 2409        |
| 60–79 | 1163        |
| 80+   | 219         |
