| Age   | Sample size |
| ----- | ----------- |
| 0-1   | 1903        |
| 1     | 1345        |
| 2–3   | 2255        |
| 4–5   | 1764        |
| 6–8   | 2476        |
| 9–11  | 2366        |
| 12–15 | 4500        |
| 16–19 | 4493        |
| 20–39 | 6506        |
| 40–59 | 4968        |
| 60–79 | 2310        |
| 80+   | 416         |
