"Age group","Sample size"
"Under 1 year",972
"1 year",712
"2–3 years",1148
"4–5 years",864
"6–8 years",1212
"9–11 years",1130
"12–15 years",2190
"16–19 years",2411
"20–39 years",3445
"40–59 years",2559
"60–79 years",1147
"80 years and over",197
