| Age   | Sample size |
| ----- | ----------- |
| 0-1   | 972         |
| 1     | 712         |
| 2–3   | 1148        |
| 4–5   | 864         |
| 6–8   | 1212        |
| 9–11  | 1130        |
| 12–15 | 2190        |
| 16–19 | 2411        |
| 20–39 | 3445        |
| 40–59 | 2559        |
| 60–79 | 1147        |
| 80+   | 197         |
