| Age   | Standard error |
| ----- | -------------- |
| 3     | 0.12           |
| 4     | 0.12           |
| 5     | 0.14           |
| 6     | 0.21           |
| 7     | 0.19           |
| 8     | 0.25           |
| 9     | 0.23           |
| 10    | 0.21           |
| 11    | 0.21           |
| 12    | 0.3            |
| 13    | 0.36           |
| 14    | 0.34           |
| 15    | 0.31           |
| 16    | 0.34           |
| 17    | 0.3            |
| 18    | 0.3            |
| 19    | 0.37           |
| 20+   | 0.05           |
| 20–29 | 0.1            |
| 30–39 | 0.1            |
| 40–49 | 0.11           |
| 50–59 | 0.14           |
| 60–69 | 0.13           |
| 70–79 | 0.15           |
| 80+   | 0.16           |
