| Age                | Mean   |
| ------------------ | ------ |
| 8–11               | 125.19 |
| 12–15              | 179.46 |
| 16–19              | 195.96 |
| 20–29              | 192.31 |
| 30–39              | 185.29 |
| 40–49              | 181.64 |
| 50–59              | 169.61 |
| 60–69              | 164.34 |
| 70–79              | 156.19 |
| 80+                | 148.37 |
| 20+ (age-adjusted) | 177.08 |
