Age,Mean
"8–11 years",129.7
"12–15 years",194.17
"16–19 years",247.53
"20–29 years",236.62
"30–39 years",222.1
"40–49 years",215.81
"50–59 years",208.19
"60–69 years",207.89
"70–79 years",203.97
"80 years and over",199.57
"20 years and over (age-adjusted)",217.24
