| Age                | Mean  |
| ------------------ | ----- |
| 7-74 years         | 124.7 |
| 7-11 years         | 106.2 |
| 12-17 years        | 112.3 |
| 18-24 years        | 113   |
| 25-34 years        | 116.6 |
| 35-44 years        | 122.3 |
| 45-54 years        | 137   |
| 55-64 years        | 142.1 |
| 65-74 years        | 154.3 |
| Age-adjusted value | 123.8 |
