Age,"Standard deviation"
"7-74 years",20.4
"7-11 years",11.6
"12-17 years",12.6
"18-24 years",13.8
"25-34 years",13.6
"35-44 years",16
"45-54 years",18.5
"55-64 years",21.3
"65-74 years",24.8
