| Age         | Standard deviation |
| ----------- | ------------------ |
| 7-74 years  | 22                 |
| 7-11 years  | 12.3               |
| 12-17 years | 13                 |
| 18-24 years | 13.9               |
| 25-34 years | 14.9               |
| 35-44 years | 17.9               |
| 45-54 years | 21.9               |
| 55-64 years | 22.6               |
| 65-74 years | 25.5               |
