| Age         | Standard deviation |
| ----------- | ------------------ |
| 7-74 years  | 23.3               |
| 7-11 years  | 13                 |
| 12-17 years | 13.2               |
| 18-24 years | 13                 |
| 25-34 years | 14.9               |
| 35-44 years | 19.2               |
| 45-54 years | 24.2               |
| 55-64 years | 23.5               |
| 65-74 years | 25.7               |
