| Age               | Median |
| ----------------- | ------ |
| All ages          | 2.1    |
| 2–11 months       | 1.6    |
| 1–2 years         | 1.6    |
| 3–5 years         | 1.8    |
| 6–11 years        | 2.2    |
| 12–15 years       | 2.3    |
| 16–19 years       | 2.4    |
| 20–29 years       | 2.3    |
| 30–39 years       | 2.2    |
| 40–49 years       | 2.2    |
| 50–59 years       | 2.1    |
| 60–69 years       | 2      |
| 70–79 years       | 1.8    |
| 80 years and over | 1.9    |
