| Age               | Median |
| ----------------- | ------ |
| All ages          | 39     |
| 2–11 months       | 12     |
| 1–2 years         | 16     |
| 3–5 years         | 20     |
| 6–11 years        | 23     |
| 12–15 years       | 27     |
| 16–19 years       | 28     |
| 20–29 years       | 39     |
| 30–39 years       | 49     |
| 40–49 years       | 59     |
| 50–59 years       | 59     |
| 60–69 years       | 59     |
| 70–79 years       | 50     |
| 80 years and over | 47     |
