| Age               | Median |
| ----------------- | ------ |
| All ages          | 37     |
| 2–11 months       | 13     |
| 1–2 years         | 15     |
| 3–5 years         | 21     |
| 6–11 years        | 23     |
| 12–15 years       | 22     |
| 16–19 years       | 24     |
| 20–29 years       | 35     |
| 30–39 years       | 45     |
| 40–49 years       | 52     |
| 50–59 years       | 58     |
| 60–69 years       | 63     |
| 70–79 years       | 56     |
| 80 years and over | 50     |
