Age,Number,"1st child","2nd child","3rd child","4th child","5th child","6th child","7th child","8th child and over","Not stated"
"All ages",3747540,1411505,1204140,639981,279212,111656,47504,21568,23151,8823
"Under 15",1787,1766,19,–,–,–,–,–,–,2
15-19,171674,144414,23727,2871,275,36,9,1,4,337
15,4725,4611,107,–,1,–,–,–,–,6
16,11862,11241,582,18,–,1,–,–,–,20
17,24494,22220,2090,123,4,2,3,–,1,51
18,47473,40598,6148,570,41,7,1,1,1,106
19,83120,65744,14800,2160,229,26,5,–,2,154
20–24,704342,375889,224339,76855,19730,4489,975,220,253,1592
25–29,1078097,402394,357159,195531,79382,27375,9146,2884,1712,2514
30–34,1089281,331634,372628,213135,98191,40173,17331,7684,6011,2494
35–39,572598,128254,189921,125236,65016,30339,14909,7828,9641,1454
40–44,120152,24561,33781,24817,15579,8618,4730,2707,4992,367
45–49,8536,2263,2269,1385,926,563,356,222,502,50
50–54,1073,330,297,151,113,63,48,22,36,13
