Age,"Standard error"
"3–5 months",0.21
"6–8 months",0.28
"9–11 months",0.24
"1 year",0.16
"2 years",0.17
"3 years",0.21
"4 years",0.29
"5 years",0.27
"6 years",0.48
"7 years",0.59
"8 years",0.64
"9 years",0.84
"10 years",0.81
"11 years",0.78
"12 years",0.9
"13 years",0.89
"14 years",0.9
"15 years",0.98
"16 years",0.89
"17 years",0.98
"18 years",1.07
"19 years",1.18
"20 years and older",0.19
"20–29 years",0.33
"30–39 years",0.35
"40–49 years",0.35
"50–59 years",0.4
"60–69 years",0.37
"70–79 years",0.39
"80 years and older",0.42
