Age,"Standard error"
"3–5 months",0.22
"6–8 months",0.23
"9–11 months",0.2
"1 year",0.15
"2 years",0.13
"3 years",0.2
"4 years",0.18
"5 years",0.2
"6 years",0.46
"7 years",0.45
"8 years",0.59
"9 years",0.69
"10 years",0.63
"11 years",0.7
"12 years",0.77
"13 years",0.89
"14 years",0.82
"15 years",1
"16 years",0.86
"17 years",0.82
"18 years",0.9
"19 years",1.05
"20 years and older",0.14
"20–29 years",0.22
"30–39 years",0.23
"40–49 years",0.25
"50–59 years",0.29
"60–69 years",0.25
"70–79 years",0.28
"80 years and older",0.28
