Age,Total,"Under 12 years","12 years","13 years or more","Not stated"
"25-64 years",501560,110157,218975,154765,17663
"25-34 years",38030,8882,17223,10755,1170
"35-44 years",84738,18031,39008,24765,2934
"45-54 years",151366,27708,64468,53803,5387
"55-64 years",227426,55536,98276,65442,8172
