Age,"Total : Sample size","Total : Mean","Total : Standard error","Total : Median","Poverty income ratio ≤ 1.300 : Sample size","Poverty income ratio ≤ 1.300 : Mean","Poverty income ratio ≤ 1.300 : Standard error","Poverty income ratio ≤ 1.300 : Median","Poverty income ratio > 1.300 : Sample size","Poverty income ratio > 1.300 : Mean","Poverty income ratio > 1.300 : Standard error","Poverty income ratio > 1.300 : Median"
"All ages",13922,427,19.5,39,4929,332,38.5,27,7769,455,23.9,43
"Under 6 years",3410,257,23.3,18,1564,219,33.4,18,1548,269,27.7,18
"6–11 years",1581,247,37.5,23,713,*204,*54.8,28,746,264,40.9,23
"12–19 years",1461,*312,*92.6,27,634,137,23.1,29,673,372,142.8,27
"20–59 years",5019,464,36.3,48,1390,450,79.7,32,3226,473,45.7,52
"60 years and over",2451,604,40.1,55,628,488,97.3,26,1576,640,37.6,63
